,id,qid1,qid2,question1,question2,is_duplicate
113666,113666,225350,225351,Does stretching before you sleep help increase height?,Does stretching your spine gives you permanent height?,1
398255,398255,778145,778146,"Should India ban ""Made In China"" products?",Can India ban Chinese manufactured goods?,1
76329,76329,151663,151664,What's the feeling of having sex for the first time?,How was the experience when you had sex for the first time?,1
17209,17209,34345,34346,What are the effects of demonitization of 500 and 1000 rupees notes on real estate sector?,What will be the impact on real estate by banning 500 and 1000 rupee notes from India?,1
239170,239170,471115,471116,How do you get more Amazon reviews?,How can I get more reviews on Amazon?,1
173403,173403,342604,342605,What would be the best programming language to DIY learn today?,What are the best programming languages for beginners and why?,1
69640,69640,138423,138424,Which the best time table for 10th class exams preparations?,What is the best time table for preparing 10th board exam?,1
81886,81886,162652,5414,What is the best bunn coffee grinder?,What's the best budget coffee grinder?,1
248704,248704,489706,489707,Why can I not understand people?,Why can't some people understand other people?,1
228108,228108,449533,449534,How do you use logarithmic tables?,How can I use the logarithmic table?,1
144999,144999,286940,286941,How can I load a prepaid card with a credit card?,Can you load a prepaid card with a credit card?,1
84389,84389,167603,167604,Who might President Donald Trump appoint to their cabinet?,"Now that Donald Trump has been elected as the 45th President of the USA, could anybody guess who will he appoint in his cabinet?",1
142710,142710,282453,282454,What is the height of Mount Everest?,What is the height of Everest?,1
265906,265906,523129,523130,How do I get rid of my procrastination problem?,How do I get rid of my severe problem of procrastination?,1
35193,35193,70127,70128,How do start preparation for IAS?,How should I start the preparations for IAS?,1
318954,318954,625801,625802,Is OK to give money to beggars?,Should I give money to beggars on the street?,1
365517,365517,715470,715471,Which is the best compliment you have ever received?,What is the best compliment you ever got from anyone?,1
162917,162917,322085,322086,Do girls date guys that are shorter than themselves?,Would you date a guy who is 5 inches shorter than you?,1
324061,324061,635680,635681,"What's the difference between ""for"" and ""to""?",What's the difference between to and for?,1
169138,169138,334248,334249,Which is the best laptop available in India in a budget of 60k?,Which is the best laptop below rs60000?,1
163291,163291,322821,322822,"How can climate change be eliminated by the policy efforts of either a nonprofit organization, a national government?",How can climate change be eliminated by the policy efforts of a nonprofit organization?,1
84306,84306,167438,167439,What is the best way to celebrate independence day?,How do we celebrate independence day?,1
361015,361015,706856,706857,What happens to questions marked as needing improvement? Are they inhibited from being seen as other questions are?,How do I talk to the moderators who marked my questions as needing improvements in Quora?,1
397630,397630,776944,776945,Why does the caste system persist in India?,Why caste system still stay in India? D?,1
274037,274037,538876,538877,Which are the great examples of presence of mind?,What are the examples of a presence of mind?,1
199076,199076,392878,392879,I am in depression what should I do?,What should i do to overcome depression ?,1
85664,85664,170126,170127,How do you overcome depression and loneliness?,How do I overcome clinical depression?,1
114890,114890,227763,227764,Does the FBI have Hillary Clinton under surveillance?,Why has the FBI reopened the investigation into Hillary Clinton's emails?,1
17266,17266,34459,34460,What's the decision that changed your whole life?,Can you describe an incident that changed your life?,1
